Code,Browser,CLDR Short Name,category
U+1F9DC,🧜‍♂️,merman,0
U+1F9DC,🧜‍♀️,mermaid,0
U+1F9DD,🧝,elf,0
U+1F9DD,🧝‍♂️,man elf,0
U+1F9DD,🧝‍♀️,woman elf,0
U+1F9DE,🧞,genie,여성/가족
U+1F9DE,🧞‍♂️,man genie,0
U+1F9DE,🧞‍♀️,woman genie,0
U+1F9DF,🧟,zombie,0
U+1F9DF,🧟‍♂️,man zombie,0
U+1F9DF,🧟‍♀️,woman zombie,0
U+1F9CC,🧌,⊛ troll,0
U+1F486,💆,person getting massage,0
U+1F486,💆‍♂️,man getting massage,0
U+1F486,💆‍♀️,woman getting massage,0
U+1F487,💇,person getting haircut,0
U+1F487,💇‍♂️,man getting haircut,0
U+1F487,💇‍♀️,woman getting haircut,0
U+1F6B6,🚶,person walking,여성/가족
U+1F6B6,🚶‍♂️,man walking,0
U+1F6B6,🚶‍♀️,woman walking,0
U+1F9CD,🧍,person standing,0
U+1F9CD,🧍‍♂️,man standing,0
U+1F9CD,🧍‍♀️,woman standing,0
U+1F9CE,🧎,person kneeling,0
U+1F9CE,🧎‍♂️,man kneeling,0
U+1F9CE,🧎‍♀️,woman kneeling,0
U+1F9D1,🧑‍🦯,person with white cane,0
U+1F468,👨‍🦯,man with white cane,0
U+1F469,👩‍🦯,woman with white cane,0
U+1F9D1,🧑‍🦼,person in motorized wheelchair,0
U+1F468,👨‍🦼,man in motorized wheelchair,0
U+1F469,👩‍🦼,woman in motorized wheelchair,0
U+1F9D1,🧑‍🦽,person in manual wheelchair,0
U+1F468,👨‍🦽,man in manual wheelchair,0
U+1F469,👩‍🦽,woman in manual wheelchair,0
U+1F3C3,🏃,person running,0
U+1F3C3,🏃‍♂️,man running,0
U+1F3C3,🏃‍♀️,woman running,0
U+1F483,💃,woman dancing,0
U+1F57A,🕺,man dancing,0
U+1F574,🕴,person in suit levitating,0
U+1F46F,👯,people with bunny ears,0
U+1F46F,👯‍♂️,men with bunny ears,0
U+1F46F,👯‍♀️,women with bunny ears,0
U+1F9D6,🧖,person in steamy room,0
U+1F9D6,🧖‍♂️,man in steamy room,0
U+1F9D6,🧖‍♀️,woman in steamy room,0
U+1F9D7,🧗,person climbing,0
U+1F9D7,🧗‍♂️,man climbing,0
U+1F9D7,🧗‍♀️,woman climbing,0
U+1F93A,🤺,person fencing,0
U+1F3C7,🏇,horse racing,0
U+26F7,⛷,skier,0
U+1F3C2,🏂,snowboarder,0
U+1F3CC,🏌,person golfing,0
U+1F3CC,🏌️‍♂️,man golfing,0
U+1F3CC,🏌️‍♀️,woman golfing,0
U+1F3C4,🏄,person surfing,0
U+1F3C4,🏄‍♂️,man surfing,0
U+1F3C4,🏄‍♀️,woman surfing,0
U+1F6A3,🚣,person rowing boat,0
U+1F6A3,🚣‍♂️,man rowing boat,0
U+1F6A3,🚣‍♀️,woman rowing boat,0
U+1F3CA,🏊,person swimming,0
U+1F3CA,🏊‍♂️,man swimming,0
U+1F3CA,🏊‍♀️,woman swimming,0
U+26F9,⛹,person bouncing ball,0
U+26F9 ,⛹️‍♂️,man bouncing ball,0
U+26F9 ,⛹️‍♀️,woman bouncing ball,0
U+1F3CB,🏋,person lifting weights,0
U+1F3CB,🏋️‍♂️,man lifting weights,0
U+1F3CB,🏋️‍♀️,woman lifting weights,0
U+1F6B4,🚴,person biking,0
U+1F6B4,🚴‍♂️,man biking,0
U+1F6B4,🚴‍♀️,woman biking,0
U+1F6B5,🚵,person mountain biking,0
U+1F6B5,🚵‍♂️,man mountain biking,0
U+1F6B5,🚵‍♀️,woman mountain biking,0
U+1F938,🤸,person cartwheeling,0
U+1F938,🤸‍♂️,man cartwheeling,0
U+1F938,🤸‍♀️,woman cartwheeling,0
U+1F93C,🤼,people wrestling,0
U+1F93C,🤼‍♂️,men wrestling,0
U+1F93C,🤼‍♀️,women wrestling,0
U+1F93D,🤽,person playing water polo,0
U+1F93D,🤽‍♂️,man playing water polo,0
U+1F93D,🤽‍♀️,woman playing water polo,0
U+1F93E,🤾,person playing handball,0
U+1F93E,🤾‍♂️,man playing handball,0
U+1F93E,🤾‍♀️,woman playing handball,0
U+1F939,🤹,person juggling,0
U+1F939,🤹‍♂️,man juggling,0
U+1F939,🤹‍♀️,woman juggling,0
U+1F9D8,🧘,person in lotus position,0
U+1F9D8,🧘‍♂️,man in lotus position,0
U+1F9D8,🧘‍♀️,woman in lotus position,0
U+1F6C0,🛀,person taking bath,0
U+1F6CC,🛌,person in bed,0
U+1F9D1,🧑‍🤝‍🧑,people holding hands,0
U+1F46D,👭,women holding hands,0
U+1F46B,👫,woman and man holding hands,0
U+1F46C,👬,men holding hands,0
U+1F48F,💏,kiss,0
U+1F469,👩‍❤️‍💋‍👨,"kiss: woman, man",0
U+1F468,👨‍❤️‍💋‍👨,"kiss: man, man",0
U+1F469,👩‍❤️‍💋‍👩,"kiss: woman, woman",성소수자
U+1F491,💑,couple with heart,성소수자
U+1F469,👩‍❤️‍👨,"couple with heart: woman, man",0
U+1F468,👨‍❤️‍👨,"couple with heart: man, man",0
U+1F469,👩‍❤️‍👩,"couple with heart: woman, woman",성소수자
U+1F46A,👪,family,성소수자
U+1F468,👨‍👩‍👦,"family: man, woman, boy",여성/가족
U+1F468,👨‍👩‍👧,"family: man, woman, girl",여성/가족
U+1F468,👨‍👩‍👧‍👦,"family: man, woman, girl, boy",여성/가족
U+1F468,👨‍👩‍👦‍👦,"family: man, woman, boy, boy",여성/가족
U+1F468,👨‍👩‍👧‍👧,"family: man, woman, girl, girl",여성/가족
U+1F468,👨‍👨‍👦,"family: man, man, boy",여성/가족
U+1F468,👨‍👨‍👧,"family: man, man, girl",성소수자
U+1F468,👨‍👨‍👧‍👦,"family: man, man, girl, boy",여성/가족
U+1F468,👨‍👨‍👦‍👦,"family: man, man, boy, boy",성소수자
U+1F468,👨‍👨‍👧‍👧,"family: man, man, girl, girl",성소수자
U+1F469,👩‍👩‍👦,"family: woman, woman, boy",여성/가족
U+1F469,👩‍👩‍👧,"family: woman, woman, girl",성소수자
U+1F469,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",성소수자
U+1F469,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",성소수자
U+1F469,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",성소수자
U+1F468,👨‍👦,"family: man, boy",여성/가족
U+1F468,👨‍👦‍👦,"family: man, boy, boy",여성/가족
U+1F468,👨‍👧,"family: man, girl",여성/가족
U+1F468,👨‍👧‍👦,"family: man, girl, boy",여성/가족
U+1F468,👨‍👧‍👧,"family: man, girl, girl",여성/가족
U+1F469,👩‍👦,"family: woman, boy",여성/가족
